region,unemployed,infections,deaths,healed,population,procent_unemployed,procent_infections,procent_healed,procent_deaths
Адыгея,17898,5828.0,49.0,4557.0,463088.0,0.03864924161282521,0.012585081021317763,0.009840462287945271,0.00010581142245102443
Алтай,15186,7296.0,24.0,6207.0,220181.0,0.06897052879222094,0.03313637416489161,0.02819044331708912,0.00010900123080556452
Алтайский край,47654,18628.0,384.0,17392.0,2317153.0,0.020565754613527894,0.008039175660821707,0.007505762459362847,0.00016572060627848052
Амурская,25986,7313.0,65.0,6864.0,790044.0,0.032891838935552954,0.009256446476398783,0.008688123699439524,8.22738986689349e-05
Архангельская,22140,21299.0,262.0,13985.0,1092424.0,0.020266856092506207,0.01949700848754696,0.012801805892217674,0.0002398336177161981
Астраханская,49788,9527.0,173.0,7323.0,1005782.0,0.04950178070396965,0.009472231557136637,0.007280901825644125,0.00017200546440481138
Башкортостан,111833,10413.0,59.0,9899.0,4038151.0,0.027694110497601503,0.0025786554291803354,0.0024513694510185477,1.4610647298726571e-05
Белгородская,24023,11598.0,93.0,9505.0,1549151.0,0.01550720362314584,0.007486681414529636,0.00613561880023316,6.003288252726816e-05
Брянская,37109,12590.0,73.0,9848.0,1192491.0,0.031118893140493303,0.010557731672608012,0.00825834324955073,6.121639492457386e-05
Бурятия,43110,12034.0,208.0,10222.0,985937.0,0.043724903315323395,0.01220564802822087,0.010367802405224674,0.00021096682648079947
Владимирская,40266,9552.0,239.0,7271.0,1358416.0,0.029641877009693642,0.007031719296592502,0.005352557684832923,0.00017594021271834253
Волгоградская,64846,19640.0,215.0,17922.0,2491036.0,0.026031739404809885,0.007884269837930885,0.0071945969468124905,8.630947124007843e-05
Вологодская,32517,8994.0,132.0,5753.0,1160445.0,0.028021147059964065,0.007750475033284645,0.004957580928006067,0.00011374946679937438
Воронежская,59481,24730.0,402.0,23260.0,2324205.0,0.025591976611357432,0.010640197400831683,0.010007723070899512,0.00017296236777736903
Дагестан,225636,14567.0,719.0,13197.0,3110858.0,0.07253175811946415,0.0046826309654764055,0.004242237993505329,0.0002311259466037987
Еврейская АО,5014,2036.0,42.0,1243.0,158305.0,0.03167303622753545,0.012861248855058273,0.007851931398250214,0.0002653106345346009
Забайкальский край,42188,12489.0,149.0,8957.0,1059700.0,0.039811267339813154,0.011785410965367556,0.008452392186467868,0.00014060583183919976
Ивановская,34966,11268.0,208.0,8648.0,997135.0,0.03506646542343815,0.011300375576025312,0.008672847708685384,0.0002085976322162997
Ингушетия,61636,7032.0,84.0,5826.0,507061.0,0.12155539471582315,0.013868153930197748,0.011489741865377144,0.00016566054182830074
Иркутская,64698,22971.0,491.0,19990.0,2391193.0,0.0270567871351246,0.009606501859113839,0.00835984381018178,0.00020533683395694116
Кабардино-Балкария,74951,9417.0,138.0,7177.0,868350.0,0.08631427419819197,0.010844705475902574,0.00826510047791789,0.0001589220936258421
Калининградская,44751,7624.0,85.0,5356.0,1012512.0,0.0441979946904333,0.007529787301286305,0.005289813849119813,8.394962232546379e-05
Калмыкия,9418,8310.0,106.0,5643.0,271135.0,0.03473546388330537,0.030648938720563557,0.02081251037306139,0.00039094915816844007
Калужская,19947,11655.0,82.0,9869.0,1002575.0,0.019895768396379323,0.011625065456449642,0.009843652594568986,8.178939231478942e-05
Камчатский край,5072,5673.0,59.0,4781.0,313016.0,0.01620364454213203,0.018123674189178828,0.015273979604876428,0.00018848876734735604
Карачаево-Черкессия,29614,8977.0,26.0,6933.0,465528.0,0.06361378907391177,0.019283480263270952,0.014892766922720008,5.585056108332904e-05
Карелия,22376,9696.0,56.0,5660.0,614064.0,0.036439198520023974,0.01578988509341046,0.009217280283488366,9.11957059850439e-05
Кемеровская,92002,14704.0,241.0,11569.0,2657854.0,0.03461514439845078,0.005532282811621707,0.004352759782892514,9.067465707296187e-05
Кировская,30963,12483.0,154.0,8602.0,1262402.0,0.024527052396938535,0.009888292318928519,0.006813994274407043,0.00012198966731675013
Коми,27625,14163.0,273.0,11297.0,820473.0,0.03366960277790981,0.017261993996146127,0.013768886971295826,0.00033273489804052053
Костромская,22313,7577.0,103.0,4952.0,633385.0,0.035228178753838504,0.011962708305375087,0.007818309558957032,0.00016261831271659416
Краснодарский край,224576,16277.0,431.0,10874.0,5675462.0,0.0395696420837634,0.002867960352831188,0.0019159673697048804,7.594095423421036e-05
Красноярский край,79762,25800.0,704.0,19589.0,2866255.0,0.02782794971138297,0.009001292627487785,0.006834353537979,0.0002456166670446279
Крым,66344,10274.0,188.0,6814.0,1912622.0,0.03468746046003863,0.005371683479537514,0.0035626485526152056,9.829438331254164e-05
Курганская,30643,6044.0,91.0,4922.0,827166.0,0.03704576832219893,0.007306876733328014,0.0059504380015619595,0.00011001419303984932
Курская,26617,10867.0,117.0,8632.0,1104008.0,0.02410942674328447,0.009843225773726278,0.007818783921855638,0.000105977492916718
Ленинградская,40051,11802.0,123.0,8789.0,1875872.0,0.021350603879155935,0.006291474045137408,0.0046852876955357295,6.556950580849866e-05
Липецкая,11578,8180.0,94.0,6747.0,1139371.0,0.01016174713943044,0.007179399861853602,0.005921688370162133,8.250166100418565e-05
Магаданская,1369,4027.0,41.0,3178.0,140149.0,0.009768175299145908,0.028733704842703125,0.02267586639933214,0.0002925457905514845
Марий Эл,14202,5729.0,65.0,4685.0,679417.0,0.020903215550979737,0.008432229396673914,0.006895617860606961,9.567025847160139e-05
Мордовия,17348,7890.0,46.0,6352.0,790197.0,0.02195401906106958,0.009984851878708727,0.008038501791325455,5.821333161224353e-05
Москва,136676,421686.0,6440.0,312389.0,12678079.0,0.01078049758169199,0.03326103268484129,0.024640089401556813,0.0005079633909837603
Московская,191943,84419.0,1574.0,62898.0,7690863.0,0.02495727722623586,0.010976531502381462,0.008178275962008425,0.00020465843690103437
Мурманская,12351,19366.0,319.0,17074.0,741404.0,0.01665893359086274,0.02612071151490955,0.023029279583061328,0.00043026474095095253
Ненецкий АО,820,431.0,0.0,242.0,44111.0,0.01858946747976695,0.00977080546802385,0.0054861599147604904,0.0
Нижегородская,63788,39311.0,795.0,33257.0,3202946.0,0.01991541537072433,0.012273388311885371,0.010383253417322677,0.00024820899259619115
Новгородская,14394,8022.0,67.0,5568.0,596508.0,0.024130439155887265,0.01344826892514434,0.009334325776016415,0.00011232037122720903
Новосибирская,100603,16361.0,557.0,13400.0,2798170.0,0.03595314080273893,0.005847035741216581,0.004788844137418384,0.00019905867048821194
Омская,64025,15913.0,403.0,12447.0,1926665.0,0.03323099760466921,0.008259349705319814,0.006460386211406757,0.00020916973111568437
Оренбургская,77988,16727.0,129.0,14452.0,1956835.0,0.03985415224073568,0.00854798692787077,0.007385395293931272,6.592277836404193e-05
Орловская,17575,11661.0,146.0,9549.0,733498.0,0.023960528863064386,0.015897793859015293,0.01301844040474548,0.00019904621416827313
Пензенская,37374,14684.0,172.0,10362.0,1305563.0,0.028626730383750153,0.011247255015652251,0.007936805807149866,0.0001317439296303587
Пермский край,97250,14301.0,479.0,10628.0,2599260.0,0.0374144948947008,0.005501950555158007,0.004088856059032186,0.00018428321907004301
Приморский край,47439,15448.0,168.0,11791.0,1895868.0,0.025022311679927082,0.008148246607886203,0.00621931484681423,8.861376424940977e-05
Псковская,13681,9388.0,60.0,4667.0,626115.0,0.02185061849660206,0.01499405061370515,0.0074539022384066825,9.582904099087228e-05
Ростовская,149789,29246.0,912.0,23322.0,4197821.0,0.035682560071046386,0.006966947852230955,0.005555739513428515,0.00021725557140240138
Рязанская,20656,10277.0,63.0,8133.0,1108847.0,0.01862835900714887,0.009268185782168325,0.0073346458077624774,5.681577350166434e-05
Самарская,66038,16053.0,291.0,14362.0,3179532.0,0.02076972334293223,0.005048856246768392,0.004517016969793039,9.152290337068474e-05
Санкт-Петербург,130101,83734.0,3797.0,48256.0,5398064.0,0.024101418582662227,0.01551185758449696,0.008939501273049004,0.0007034003301924542
Саратовская,75298,19730.0,182.0,13252.0,2421895.0,0.03109053034916873,0.008146513370728293,0.005471748362336105,7.514776652167002e-05
Саха,38946,13696.0,128.0,11054.0,971996.0,0.0400680661237289,0.01409059296540315,0.011372474783846847,0.00013168778472339392
Сахалинская,4892,7911.0,4.0,5563.0,488257.0,0.01001931359919059,0.01620253268258315,0.011393589851246373,8.192406867694677e-06
Свердловская,145076,33476.0,795.0,27815.0,4310681.0,0.03365500717868012,0.007765826327673052,0.006452576750634064,0.00018442561627733529
Севастополь,8219,2854.0,90.0,2056.0,449138.0,0.01829949814978915,0.006354394417751337,0.00457765764642493,0.00020038384639019634
Северная Осетия,30273,6919.0,60.0,5224.0,696837.0,0.04344344516723423,0.009929151293631078,0.007496731660345246,8.610334985082595e-05
Смоленская,21758,8748.0,205.0,6245.0,934889.0,0.02327335116789266,0.00935726059457326,0.006679937404333563,0.00021927736875714657
Ставропольский край,94718,20297.0,411.0,15442.0,2803573.0,0.033784745394537616,0.007239690209600392,0.0055079714350223805,0.00014659864394470911
Тамбовская,13995,9619.0,61.0,7861.0,1006748.0,0.013901194737908592,0.009554526058159539,0.007808309527309714,6.0591131047690186e-05
Татарстан,114889,7909.0,108.0,6464.0,3902888.0,0.029436919532407797,0.002026448107145273,0.0016562094531024207,2.7671816357528066e-05
Тверская,24758,10292.0,279.0,6036.0,1260379.0,0.0196432977699565,0.008165797748137664,0.004789035678950538,0.00022136198714831014
Томская,36306,12529.0,112.0,8968.0,1079271.0,0.0336393732436061,0.01160876184016804,0.008309312489634207,0.000103773750985619
Тульская,33379,12268.0,393.0,10409.0,1466127.0,0.02276678623338906,0.00836762435996336,0.007099657805906309,0.000268053176839387
Тыва,23293,8978.0,113.0,7922.0,327383.0,0.07114908226755819,0.02742353756914684,0.024197957743682476,0.00034516147753548595
Тюменская,60317,13017.0,83.0,10268.0,1537416.0,0.039232712551449965,0.0084668040400256,0.006678738870936688,5.398668935408503e-05
Удмуртия,30142,9237.0,166.0,7181.0,1500955.0,0.020081881202301203,0.006154081901189576,0.004784287337062071,0.00011059625371846591
Ульяновская,44680,20239.0,262.0,16700.0,1229824.0,0.03633040174854288,0.01645682634263114,0.013579178809325562,0.00021303861365528726
ХМАО,48981,25996.0,256.0,23494.0,1674676.0,0.029248045592102593,0.015523002658424675,0.01402898232255075,0.0001528653900814247
Хабаровский край,34145,16962.0,113.0,13004.0,1315643.0,0.025953089097878374,0.01289255519924478,0.009884140302498474,8.588956122595567e-05
Хакасия,17068,7700.0,83.0,6276.0,534262.0,0.03194687250824502,0.014412404400837043,0.011747045457097828,0.00015535448899603566
Челябинская,106538,18836.0,186.0,14198.0,3466369.0,0.030734754436126104,0.005433928124789946,0.004095928621563371,5.3658453557598746e-05
Чувашия,42008,9447.0,190.0,7616.0,1217818.0,0.034494481112941344,0.007757316774756162,0.006253808040281882,0.00015601674470241037
Ямало-Ненецкий АО,8938,19261.0,128.0,14760.0,544444.0,0.016416748095304568,0.03537737581826597,0.02711022621242956,0.00023510223273651653
Ярославская,39707,11522.0,66.0,10227.0,1253389.0,0.03167970997032844,0.009192676814620201,0.008159478023183545,5.265723570256321e-05
